序号		管理模块	规则类型	触发条件	执行主体	关联模块	变动规则	风险预警	企业需提交资料/申请文件	保险公司产出/批复文件
限额管理	1	限额管理	初始限额申请	投保时（出单前）	企业	保费管理	企业提交买方清单及拟申请限额→保险公司资信调查后批复初始限额	—	"1.买方清单（含买方全称、国别、地址、合作年限）
2.各买方过去12个月交易额
3.各买方拟申请信用限额
4.各买方付款条件/账期
5.买方资质证明（可选）
6.历史交易记录（可选）"	"1.信用限额批复函/通知书
2.已批复信用限额明细表
3.买方资信调查报告（内部）"
	2		出运申报限额校验	企业提交出运申报时	系统自动	出运申报	IF(本次申报金额>买方剩余可用限额)→申报失败	申报时实时弹窗提示"超限额"	出运申报数据（发票号、金额、出运日期、买方）	申报结果反馈（通过/拒绝+原因）
	3		新增买方限额申请	开发新客户/拟出运前	企业	资信调查	提交新买方信息+拟申请限额→资信调查(最长1个月)→审批后新增限额	建议提前15-30天申请，预留资信调查周期	"1.信用额度申请表（CreditLimitApplicationForm）
2.买方全称（中/英文）、注册地址、国别
3.买方注册号/税号（如有）
4.预计未来12个月赊销总额
5.付款条件（账期天数）
6.申请信用限额金额
7.买方联系方式（可选）
8.买方资质证明（可选）
9.担保方信息（如有）"	"1.信用限额批复函/通知书
2.资信调查报告（内部）"
	4		增额申请	预计交易额超出原限额时	企业	保费管理	提交调增申请+历史交易记录/买方财务信息佐证→重新核保→批复(可调高/维持/降低)	原限额即将用尽时触发预警	"1.信用额度调增申请书
2.历史良好交易记录（近12个月）
3.买方财务信息/资信证明（可选）
4.新签贸易合同/订单（可选）"	"1.信用限额调增批复函
2.保费调整通知（如需加费）"
	5		单一买方集中度限制	限额申请/出运申报时	系统自动	出运申报	"单一买方限额≤保险总金额的20%(CPIC)；
单一国家限额≤保险总金额的30%(CPIC)"	超集中度时系统拒批/阻止申报	—	系统自动校验结果提示
	6		限额冻结/下调	买方出现逾期、风险信号时	保险公司	出运申报、理赔管理	保险公司主动冻结或调减该买方限额→已出运未收汇部分仍受保障→新出运不可使用原限额	买方逾期30天以上触发监控	"1.买方交易与收汇情况说明
2.与买方沟通记录（如需申诉）"	"1.限额冻结/下调通知书
2.风险预警通知"
	7		限额撤销-闲置触发	限额获批后连续3个月内未就该买方申报出运	系统自动	闲置期管理	该限额自动撤销→再次交易需重新申请限额(重新资信调查)	闲置2个月时触发黄灯预警(60天预警线)	无需提交（系统自动执行）	限额自动撤销通知书
	8		限额到期失效	保单年度到期时	系统自动	期限管理	所有限额有效期与保单期间一致(通常12个月)→到期同步失效→续保后重新核定或结转	保单到期前30天触发限额到期预警	"1.续保申请书
2.更新后的买方清单
3.各买方最新交易数据"	"1.新保单
2.新限额批复明细表"
	9		非取消限额保护	已批复非取消限额的买方	系统标记	出运申报	裕利安宜/安裕提供：已审批买方限额不可单方取消	—	—	非取消限额确认函
二、闲置期管理	10	闲置期管理	限额闲置预警	某买方距上次出运已超60天	系统自动	限额管理	系统标记"闲置预警"，通知客户经理	黄灯预警：距90天自动撤销红线剩30天缓冲	—	闲置预警通知书
	11		限额自动撤销	限额获批后连续3个月(90天)内无任何出运申报	系统自动	限额管理	该买方限额自动撤销→发送撤销通知→再次交易需重新申请+重新资信调查	红灯触发：限额撤销不可逆	—	限额自动撤销通知书
	12		保活申报	闲置接近3个月但仍可能交易	企业	出运申报、限额管理	企业做一笔小额出运申报→闲置天数清零→限额维持有效	建议在闲置80天左右执行	正常出运申报资料（发票号、金额、出运日期、买方等）	申报确认回执
	13		主动释放限额	确认不再交易的买方	企业	限额管理、保费管理	企业通知保险公司撤销该买方限额→释放额度空间→优化买方清单	—	限额撤销申请书（说明撤销原因）	限额撤销确认函
	14		续保前闲置清理	保单到期前1个月	企业	保费管理、续保	清理长期闲置买方→若大量限额闲置，续保时保险公司可能要求缩减买方清单或调低保额	续保提醒同时触发闲置清理建议	更新后的买方清单（标注活跃/闲置状态）	续保核保意见书
	15		闲置影响保费利用率	保单年度结算时	系统自动	保费管理	限额利用率=实际申报额÷已批复限额总额×100%。利用率<50%→续保时建议缩减清单	保费利用率低时触发保费优化建议	—	年度限额利用率分析报告
三、期限管理	16	期限管理	保险期间起算	保单生效日零时	系统自动	所有模块	保险期间=12个月→所有有效期/时限均以此为基准锚点	—	—	保险单正本
