字段分类	关键字段	填写/上传要求	备注	
基础信息​	保险单号	需支持查询、编辑（需权限）、失效状态标记		
	保险公司名称	XXXX保险公司	OCR识别抓取	
	保险人名称	XXXX保险公司		
	被保险人名称	客户/客户关联企业	此处被保险人名称需与贸易项下卖方信息一致，建议此处设置强校验规则	
	受益人名称			
	保险起期	日期		
	保险止期	日期		
	保险期间	如12个月		
	续保标识	是/否	根据“保险止期”设置提前30日提前提醒规则，如客户选择“是”，触发“续保申请”，自动提起“续保流程”；选择“否”，调用“保险匹配规则”，根据客户选择的投保方案，触发“保险购买环节”的业务流程	
	投保金额	支持人民币、美元、港币。	建议支持主流货币填写	
	国家风险类别版本		风险类别影响买方额度→出口申报→理赔难度	
	条款版本			
	约定保险范围			
	业务类型	服务贸易/货物贸易		
责任限额​	最高赔偿限额			
	买方信息	支持多个买方信息填写	与贸易环节买方信息强校验。初始字段为保单信息中买方信用限额信息；如客户新增买方，触发“买方信用限额申请”流程，同时贸易环节提示风险：该买方未进行限额申请，保险公司可能不予理赔，理赔失败风险增加。	
	买方信用限额		信息更新规则：根据贸易出运情况+卖方收结汇情况，自动更新买方信用限额。	
	承保风险及赔偿比例	"商业风险—买方破产或无力偿付债务
商业风险—买方拖欠
商业风险—买方拒绝接收货物或拒绝对已完成的服务进行确认
商业风险—开证行破产、停业或被接管、拖欠及拒绝承兑
政治风险"	可OCR识别后进行匹配，支持客户修改后与保单内容比对。	
	限额闲置期（如有）		届满前30日提醒；超过闲置期，触发“限额申请”流程。	
	自行掌握限额（中信保）/自定信用限额（太平洋）	"①条件
②限额要求（国家、额度、最高赔偿限额 赔偿比例、信用期限（天））
③申报方式
④赔付基数
⑤赔偿比例
⑥限额撤销条件
⑦限制国家
⑧信用期限要求"		
	免赔额			
申报规则​	申报方式		申报的买方信息与限额管理-买方信用限额以及贸易环节买方信息强校验，对任一节点内容不符的增加风险提示。	
	申报周期	月度/季度		
	申报截至日期	日期，如“次月15日”	设置申报截止日提醒；如到期仍未申报，风险增加“理赔风险比例”	预警规则：出运申报环节-贸易环节增加香港买方与境内买方关系校验，避免关联交易
	申报币种（人民币/美元）			
费用管理​	保险费率	XX%	此处可能为费率区间，建议不要限制	
	缴费期限	具体日期	如：保险起期前30日/单笔申报后3日内	
	缴费方式	一次性/分期		
	保费	具体金额	"自动计算应缴保费，逾期未缴触发保单效力中止流程，同时风险提示增加“理赔风险比例”
此处的保费可能存在多条，不同保险公司收费要求不同"	
	退保费用（如有）		申请退保时触发费用计算，按照未到期天数比例退还。	
	赔款追回款项支付对象			
保单文件	保单	文件上传		
	批单			
