理赔流程步骤​		中国信保（Sinosure）​	人保财险（PICC）​	太平洋保险（CPIC）​	大地保险（CCIC）​
1. 报案​	时限	"拖欠风险：风险发生后30日内（应付款日后30天）；
破产/拒收/政治风险：10个工作日内；"	风险发生后10日内（所有风险类型）；	"拖欠风险：30日内；
其他风险（破产/拒收等）：10个工作日内；"	时限：风险发生后30日内（通用规则）；
	报案方式	通过“中国国际贸易单一窗口”或客服热线95387报案；	通过人保财险APP、客服热线95518或线下网点报案；	通过太平洋保险官网、APP或客服热线95500报案；	通过大地保险客服热线95590或线下网点报案；
	要求	提交《可能损失通知书》，说明风险类型、涉及金额、买方信息等。	提供保单号、被保险人信息、风险发生简要情况。	提交《索赔申请书》及基础贸易单据（合同、发票、提单）。	提供《理赔申请书》、被保险人证件、贸易合同等基础资料。
2. 资料提交​	资料要求	"贸易单据（合同、发票、提单、报关单）；
买方违约证明（拖欠需提供催款记录，破产需提供破产公告）；
减损措施记录（如转卖协议、滞港费单据）；
要求：资料需加盖公章，通过“信保通”系统上传。"	"保险单正本、营业执照副本；
交易资料（销售合同、订单、发票）；
损失证明（逾期通知、催收记录）；
要求：资料齐全后，保险公司一次性通知补正（若有）。"	"索赔申请书、销售合同、商业发票；
出口报关单（海关验讫章）、海运提单；
买方拒付/破产证明（如拒付函、法院裁定）；
要求：资料需真实有效，否则有权拒绝受理。"	"理赔申请书、被保险人身份证明；
贸易合同、发票、运输凭证；
损失证明（如买方未付款的银行记录）；
要求：小额案件（≤3000元）可通过线上APP提交，简化资料。"
					
					
					
					
3. 审核与调查​	审核时限	"简单案件（资料齐全、无争议）：15日内完成核赔；
复杂案件（需海外调查）：4个月内完成；"	"简单案件：10个工作日内完成核定；
复杂案件：30日内完成（法定最长时限）；"	受理后30个工作日内出具核赔结论；	"小额案件（≤3000元）：24小时内完成审核；
大额案件：45个工作日内完成；"
	调查内容	"买方资信状况（通过海外渠道核实）；
贸易真实性（核查单据一致性）；
损失原因（区分商业风险与政治风险）。"	"核实交易背景（如合同真实性）；
确认损失金额（如未收汇金额）；
检查被保险人是否履行减损义务。"	"核查贸易单据（合同、发票、提单是否一致）；
调查买方违约原因（如破产需提供法院文件）；
评估减损措施合理性（如转卖价格是否合理）。"	"核实被保险人身份及贸易真实性；
确认损失金额（如未收汇金额）；
检查是否有“知险后出运”等除外责任。"
					
					
4. 定损与核赔​	定损规则	按“核定损失金额×赔偿比例”计算（赔偿比例通常为80%-90%，具体以保单为准）；扣除不合理款项（如买方已支付部分、滞港费）；	"按“实际损失×赔偿比例”计算（赔偿比例以保单约定为准）；
扣除免赔额（若有）；"	"核定损失金额为“未收汇金额-已收回金额”；
赔偿比例按保单约定（通常为70%-90%）；"	"按“核定损失金额×赔偿比例”计算（赔偿比例以保单为准）；
对主动追偿的企业，可提高赔付比例（如增加5%-10%）；"
	核赔时限	简单案件15日内，复杂案件4个月内。	简单案件10个工作日内，复杂案件30日内。	30个工作日内出具核赔结果。	小额案件24小时内，大额案件45个工作日内。
5. 赔付​	时限	核赔通过后10日内支付赔款（银行转账）；	"达成协议后10日内支付；
复杂案件最长不超过60日（法定时限）；"	核赔通过后10日内支付；	"小额案件（≤3000元）：24小时内支付；
大额案件：10日内支付；"
	要求	被保险人需签署《权益转让书》，将追偿权转让给保险公司。	通过银行转账或支票支付。	被保险人需提供银行账户信息，保险公司通过电汇支付。	通过银行转账或线上支付（如微信、支付宝）。
6. 追偿​	追偿方式	"委托海外追偿渠道（如国际商会、当地律师事务所）；
对政治风险（如外汇管制），通过政府间合作机制解决；"	"与人保财险合作的海外追偿网络（如全球商账追收机构）；
对恶意拖欠的买方，通过法律途径（如仲裁、诉讼）解决；"	"太平洋保险“全球追偿网络”（覆盖100多个国家）；
对高风险国家（如非洲、拉美），启用“政府间合作机制”；"	"委托第三方商账追收机构（如邓白氏）；
对小额案件，通过“应收账款质押融资”加速资金周转；"
	追偿期限	赔付后6个月内启动，通常1-3年完成。	赔付后3个月内启动，通常6个月-2年完成。	赔付后6个月内启动，通常1-2年完成。	赔付后3个月内启动，通常6个月-1年完成。
